title,url
幕享 – 免费投屏工具，可在电脑与手机间相互投屏，还可控制电脑,https://www.appinn.com/letsview/
自动删除「微信 PC 版」文件、视频、图片等缓存数据，释放电脑空间,https://www.appinn.com/auto-delete-file-on-pc-wechat/
专注笔记 – 撰写极具可读性的笔记工具[iOS/macOS/Windows],https://www.appinn.com/focus-note/
洋芋田图像工具箱 – 8 大功能，适合摄影师、设计师的开源工具集,https://www.appinn.com/potatofieldimagetoolkit/
Desktop Goose – 给你的电脑加上一直会捣乱的鹅，作为桌面宠物[Win/macOS],https://www.appinn.com/desktop-goose/
Tixati – 支持群组的 BT 下载工具[Windows/Linux],https://www.appinn.com/tixati/
Berrycast – 屏幕录制分享工具[Windows/macOS],https://www.appinn.com/berrycast/
如何将 iPhone/iPad/Mac 屏幕投屏（AirPlay）到 Windows 上？,https://www.appinn.com/airplay-receiver-for-windows/
Pet – 让双手完全不离开键盘，就能移动鼠标、移动光标，取代鼠标的快捷效率工具[Windows],https://www.appinn.com/pet-for-windows/
如何去除 Windows 10 预览版桌面右下角的水印,https://www.appinn.com/universal-watermark-disabler/
面对电脑的时间有点多，求桌面宠物,https://www.appinn.com/ppet-desktop-pet/
Awake – 临时防休眠，让 Windows 屏幕长亮,https://www.appinn.com/awake-for-windows/
Nuclear – 开源免费的在线音乐播放、下载工具[Win/macOS/Linux],https://www.appinn.com/nuclear/
TranslucentTB – 用小工具让 Windows 任务栏透明,https://www.appinn.com/translucenttb-for-windows/
Captura – 带键盘按键录制的录屏工具，支持直播[Windows],https://www.appinn.com/captura/
快速制作动画视频的软件 – 万彩动画大师送 3000 个激活码，抢完即止！,https://www.appinn.com/wancai-donghua-202001/
微软正式发布基于 Chromium 的浏览器 the New Microsoft Edge,https://www.appinn.com/the-new-microsoft-edge-base-chromium/
Tern – 字幕组机翻小助手：自动翻译英文字幕为中英双语字幕[Win/macOS],https://www.appinn.com/tern-subtitle-file-translator/
PDF 补丁丁 – 11年历史，永久免费，绝不过期，却已完结，免费的 PDF 文档处理工具[Windows],https://www.appinn.com/pdf-bu-ding-ding/
支持 Chrome、Firefox 自动填充密码并提交登录的 KeePass 扩展：Kee,https://www.appinn.com/kee-for-keepass/
EaseUS Todo PCTrans – 新旧电脑资料互传，支持软件、数据、账号,https://www.appinn.com/easeus-todo-pctrans/
音乐相册视频制作软件：万彩影像大师，送特别版会员,https://www.appinn.com/wancai-yingxiang/
Ctrl+C 到底行不行啊？,https://www.appinn.com/quicker-ctrlc/
Whitecloud – 本地游戏存档管理器：存档云同步、启动、攻略、时间统计[Windows],https://www.appinn.com/whitecloud-games-saved-manage/
Office 365 家庭版又有优惠啦，价格探底,https://www.appinn.com/office-365-family-plan-201912-final/
Remote Volume Controller – 远程音量调节工具[Windows],https://www.appinn.com/remote-volume-controller-for-windows/
Delta Chat – 如果早 10 年，用邮件当 IM 可能会火,https://www.appinn.com/delta-chat/
"VideoSrt – 自动识别,为视频生成中英字幕[Win 开源]",https://www.appinn.com/videosrt-for-windows/
MusicPlayer2 – 美观易用的 Windows 本地音乐播放器,https://www.appinn.com/musicplayer2/
"万彩手影大师 – 自媒体(抖音,快手等)动画视频制作软件，送3000个特别版",https://www.appinn.com/wancai-shouying-201912/
Inky – 从未如此简单：编写属于自己的互动小说/文字冒险游戏,https://www.appinn.com/inky-for-ink/
Evernote 强力替代品：开源加密笔记本 Joplin,https://www.appinn.com/joplin/
爆 uTorrent 被多款杀毒软件查杀，有什么好用的替代品吗？,https://www.appinn.com/utorrent-alternative/
Snow Sculptures – 14 幅图像的 Windows 10 冬日雪景主题，微软官方主题,https://www.appinn.com/snow-sculptures-mswintheme/
TextConverter – 16 种方式，批量处理文本文件，生产力工具[Windows],https://www.appinn.com/textconverter-for-windows/
"如何用 PotPlayer 的书签功能,标记并检索视频课程的知识点",https://www.appinn.com/potplayer-bookmark-learning/
FalconX – 居中显示任务栏图标[Windows],https://www.appinn.com/falconx-for-windows/
PARAGON 磁盘管理工具 25 周年纪念版限免，原价389元,https://www.appinn.com/paragon-hdm-25-anniversary/
制作炫酷动画 PPT 的软件 – Focusky 送3000个 特别版激活码,https://www.appinn.com/focusky-1911/
小筑笔记 – 树形结构、无限层级的云笔记应用[Android/Windows],https://www.appinn.com/athinkthings-notes/
Cloaker – 简单的文件加密、解密工具[Win/macOS/Linux],https://www.appinn.com/cloaker-simple-password-based-file-encryption/
Free Shooter – 极简的复古界面开源截图工具[Windows],https://www.appinn.com/free-shooter/
EasyService – 让程序以 Windows 系统服务的方式，无窗口运行,https://www.appinn.com/easyservice-for-windows/
"万彩手影大师 – 自媒体(抖音,快手等)动画视频制作软件，送3000个特别版",https://www.appinn.com/wancai-shouying/
[双11]天若 OCR 文字识别的 8 种文字识别方式[Win],https://www.appinn.com/tianruo-ocr-20191111/
[双11]设计师必备，素材管理、图片收藏工具：Eagle,https://www.appinn.com/eagle-20191111/
Mochi – 支持 Anki 的间隔重复提醒记忆卡片工具[Win/macOS/Linux],https://www.appinn.com/mochi/
CrystalDiskMark 7 发布，更萌的硬盘检测工具[Windows],https://www.appinn.com/crystaldiskmark-7/
用轻量级工具 Notepad3 替代 36 岁的微软记事本,https://www.appinn.com/notepad3/
将 PDF 转换为 Word 只是 万兴PDF专家 的一个小功能,https://www.appinn.com/wanxiang-pdf/
终于找到一款 Windows 下为截图边缘添加阴影工具了：ShareX,https://www.appinn.com/sharex-13/
Everything “HTTP 服务器”功能安全漏洞：允许任何人远程访问本地文件,https://www.appinn.com/everything-safe-bug-exposed-file/
如何自动替换周报中的部分内容？针对 Office 文档,https://www.appinn.com/xclwinkits/
所见即所得的开源跨平台 Markdown 编辑器,https://www.appinn.com/wysiwyg-markdown-editor/
OneDrive 个人保管库上线，在网盘中二次加密保存重要文件,https://www.appinn.com/personal-vault-one-drive/
Raccoon – 从 Play 商店下载 Android 应用安装文件 .apk,https://www.appinn.com/raccoon-downloadapk/
HiPC – 用微信小程序远程控制电脑,https://www.appinn.com/hipc-remote-contorl-wechat-miniapp/
为知笔记发布 Docker 服务器端，私有部署，将数据保存在自己的服务器上，免费使用,https://www.appinn.com/wiz-server-docker/
快速制作动画视频的软件 – 万彩动画大师送 3000 个激活码，抢完即止！,https://www.appinn.com/wancai-gift-201909/
Diffinity – 轻量级文件对比比较工具[Windows],https://www.appinn.com/diffinity-for-win/
怀旧党：三国志 连招辅助工具[Kawaks 接机模拟器],https://www.appinn.com/winkawaks-sanguo-assist/
这个脑洞有点大：远程输入法，用电脑给手机打字,https://www.appinn.com/remoboard/
Switch – 用闪电快捷键切换不同的程序[Windows],https://www.appinn.com/switch-desktop-windows/
XDM(Xtreme Download Manager) – 跨平台开源下载工具，可替代 IDM,https://www.appinn.com/xtreme-download-manager/
用电脑控制 Android 手机的 Scrcpy  拥有更易使用的图形界面了,https://www.appinn.com/scrcpy-gui/
StikyNotes – 一个便捷的 Windows 桌面便利贴,https://www.appinn.com/stikynotes-for-windows/
没有 Windows 文件管理器集成 git 信息展示的工具？自己写一个,https://www.appinn.com/gitinfoexplorerextension/
比 PPT 简单有趣的动画演示制作软件 Focusky 送特别版,https://www.appinn.com/focusky-201909/
